TOPIC,WORD,MEANING,SENTENCE,
1. Angry,Enrage,make violently angry., She was Enraged at his stupidity.,
1. Angry,Fume,feel or express great anger.," She sat in the car, silently Fuming at the traffic jam.",
1. Angry,Glower,have an angry and sullen look on face., The entire ninth grade turned to Glower at us.,
1. Angry,Incense,make or get angry.," Incensed, Mr. John demanded on national television that Ms. Rihana be given a year prison sentence.",
1. Angry,Infuriate,make someone angry., Her silence Infuriated him even more.,
1. Angry,Irate,very angry., The employee wrote an Irate letter to the editor.,
1. Angry,Ire,anger.," If you routinely steal your neighbors newspaper, dont be surprised to be on the receiving end of his Ire.",
1. Angry,Livid,angry., Dad will be Livid when he finds this out.,
1. Angry,Rabid,very angry., The fans became Rabid when their team lost the match.,
1. Angry,Seethe,very angry.," He marched off, seething with frustration.",
1. Angry,Smolder,feel angry., He was Smoldering with rage when he learned that his orders were not followed.,
1. Angry,Wrath,great anger., Some reporters hardly draw the Wrath of critical bloggers.,
2. Avoid /doge,Avert,turn away or prevent., He did his best to Avert suspicion.,
2. Avoid /doge,Circumvent,avoid., They found a way of Circumventing the law.,
2. Avoid /doge,Deflect,divert the course of something., All attempts to Deflect attention from his private life have failed.,
2. Avoid /doge,Elude,to escape or avoid in a cunning manner., The two men managed to Elude the police for six weeks.,
2. Avoid /doge,Evade,"when you evade something, you escape it."," For two weeks, they Evaded the press.",
2. Avoid /doge,Parry,avoid a question or blow., He parried the question asked by the journalist.,
2. Avoid /doge,Shirk,avoid duty or responsibility., Discipline in the company was strict and no one Shirked his/her duties.,
2. Avoid /doge,Shunt,move to a less important place or position., John was Shunted sideways to a job in sales.,
2. Avoid /doge,Skirt,"avoid fulfilling, answering, or performing (duties, questions, or issues).", She Skirted the problem.,
2. Avoid /doge,Swerve,"changing directions suddenly, possibly to avoid a collision.", The bus suddenly Swerved into his path.,
2. Avoid /doge,X Headlong,"done rashly, or really quickly.", The government is taking care not to rush headlong into another controversy.,
3. Awkward / unskilled,Feckless,ineffective or incapable., She had become Feckless because of illness.,
3. Awkward / unskilled,Fumble,do awkwardly or carelessly., He Fumbled with the buttons on his shirt.,
3. Awkward / unskilled,Gauche,awkward and unsophisticated., Their exquisite manners always make me feel Gauche.,
3. Awkward / unskilled,Inept,unskillful., She was left feeling Inept and inadequate.,
3. Awkward / unskilled,Maladroit,awkward and unskillful., Both parties are unhappy about the Maladroit handling of the whole affair.,
3. Awkward / unskilled,Ungainly,awkward.," He was a tall, Ungainly boy of eighteen.",
4. Waste time,Dally,move slowly or waste time.," During our free time in college, we used to Dally around the corridor.",
4. Waste time,Dawdle,be slow or waste time., Stop dawdling! We're going to be late! Dilatory=causing delay.,
4. Waste time,"Example: The government has been Dilatory in dealing with the problem of, unemployment."""," Don't dilly-dally on the way home from school.
Laggard=someone who is always lagging behind.
Example: Laggards are the ones still using fax machines instead of email.
Linger=stay in a place for a longer time than required.
Example: We Lingered around the hotel for a while after the party.
Malinger=fake illness in order to avoid duty or work.
Example: The boss knew that he was Malingering because he w Example: Don't dilly-dally on the way home from school.",,
4. Waste time,Laggard,someone who is always lagging behind., Laggards are the ones still using fax machines instead of email.,
4. Waste time,Linger,stay in a place for a longer time than required., We Lingered around the hotel for a while after the party.,
4. Waste time,Malinger,fake illness in order to avoid duty or work., The boss knew that he was Malingering because he wanted to see the world cup final.,
5. Beginning,Onset,the beginning of something., Diagnostic errors are even more common in early Onset of Alzheimer's disease.,
5. Beginning,Outset,the beginning of something., I made it clear right from the Outset that I disapproved the plan.,
5. Beginning,X Egress,the act of leaving a place., Use the doorways intended for egress only.,
6. Burn/Hot /x cold,Tepid,slightly warm., The mushrooms develop more flavor if you use the slower method of soaking them in tepid water for six hours or overnight.,
6. Burn/Hot /x cold,Conflagration,a large and destructive fire., The conflgaration destroyed property worth millions.,
6. Burn/Hot /x cold,Scald,injure with hot liquid., Be careful not to Scald yourself with the steam.,
6. Burn/Hot /x cold,Scathe,"injure or harm, especially by fire.", Her sensitive skin got Scathed because of excessive heat.,
6. Burn/Hot /x cold,Scorch,burn the surface of something., I Scorched my dress when I was ironing it.,
6. Burn/Hot /x cold,Sear,burn the surface by heat., The heat of the sun Seared their faces.,
6. Burn/Hot /x cold,Singe,burn superficially or lightly., He Singed his hair as he tried to light his cigarette.,
6. Burn/Hot /x cold,Swelter,be very hot., Passengers Sweltered in temperatures of over 45 degrees.,
6. Burn/Hot /x cold,Torrid,very hot., We watched him shoot for the movie on a Torrid afternoon.,
6. Burn/Hot /x cold,X Frigid,very cold., Frigid climate spoiled their entire journey.,
6. Burn/Hot /x cold,X Glacial,very cold., The glacial wind whipped her skin blue.,
7. Displaying Knowledge,Cerebral,intellectual, The content of philosophical works is Cerebral in nature and requires much thought.,
7. Displaying Knowledge,Didactic,"try to teach, esp morals. This word is often used negatively for when someone is acting too much like a teacher.", The poets works became increasingly idactic after his religious conversion.,
7. Displaying Knowledge,Erudite,showing great knowledge., She could turn any conversation into an Erudite discussion.,
7. Displaying Knowledge,Pedantic,very concerned with minor details of academic learning., A Pedantic insistence on the correct way of doing things.,
7. Displaying Knowledge,Pundit,a learned person or expert., Political Pundits in the United States predicted a historic win for Barack Obama in the 2008 US Elections.,
8. Flexible / Skilful,Adept,skillful., He became Adept at getting even the shyest students to talk.,
8. Flexible / Skilful,Adroit,"skillful, esp with using hands.", I want to become an Adroit guitarist.,
8. Flexible / Skilful,Agile,moving quickly and easily., He had the agility of a man half his age.,
8. Flexible / Skilful,Consummate,very skillful., She was a Consummate performer.,
8. Flexible / Skilful,Deft,done neatly and skilfully., He finished off the painting with a few Deft strokes of the brush.,
8. Flexible / Skilful,Dexterous,skilled at using hands., Paul Fraier was quietly Dexterous on bass guitar.,
8. Flexible / Skilful,Limber,flexible., His muscles are Limber that is why he is into gymnastics.,
8. Flexible / Skilful,Lithe,flexible., The dancer has a Lithe body.,
8. Flexible / Skilful,Nimble,able to move quickly and easily., You need Nimble fingers for that job.,
8. Flexible / Skilful,Proficient,efficient.," With practice, you should become Proficient within six months.",
8. Flexible / Skilful,Prowess,exceptional skill or ability., He was complimented on his Prowess as an oarsman.,
8. Flexible / Skilful,Supple,"bending, moving easily.", These exercises will help to keep you Supple.,
9. Having twist and turns,Byzantine,highly complex or intricate., This is an organiation of Byzantine complexity.,
9. Having twist and turns,Circuitous,longer or roundabout (path)., He took us on a Circuitous route to the hotel.,
9. Having twist and turns,Convoluted,complex and difficult to understand., She could not follow his Convoluted discourse.,
9. Having twist and turns,Intertwine,twisted together., Their political careers had become closely Intertwined.,
9. Having twist and turns,Meander,follow a winding course, The stream Meanders slowly down to the river.,
9. Having twist and turns,Sinuous,having curves and turns.," His works are generally flat and decorative, with strong Sinuous lines.",
9. Having twist and turns,Tortuous,having twists and turns., A Tortuous road up the mountain.,
10.Horrifying/ shocking/ x Attraction,Appalling,shocking., The brutality of the crime appalled the public.,
10.Horrifying/ shocking/ x Attraction,Egregious,extremely unpleasant or bad., There are several prime ministers in the past who have committed far more Egregious offenses.,
10.Horrifying/ shocking/ x Attraction,Ghastly,causing horror., She woke up in the middle of a Ghastly nightmare.,
